id,price
0,363442.7158112021
1,218215.37855920882
2,693275.8842733833
3,540177.6099118808
4,357749.5463695135
5,1180675.4806718589
6,624098.8568189726
7,795850.3085146324
8,627052.0657506789
9,277076.61951645574
10,1869090.4542136295
11,821557.6380257811
12,384460.7288055709
13,688944.4690712731
14,877675.5349837864
15,534514.4858881613
16,2790217.8888458945
17,374182.6122701852
18,259853.31815709802
19,1083910.012856507
20,208954.85469506547
21,586823.5862881353
22,322643.0787461151
23,126913.56567683368
24,935820.4023276488
25,1306787.3060495881
26,5589882.391092087
27,577104.7796665017
28,180133.47578691156
29,245731.31485759612
30,580123.1017175927
31,578084.1151462416
32,489517.47847129736
33,2129766.3438361855
34,342642.1590005945
35,503472.51114709774
36,217485.77914060705
37,765696.3958738702
38,1416491.3842132618
39,156427.5771306614
40,633336.7852470141
41,188668.6918409826
42,579692.5567092173
43,473766.984401498
44,1609315.8230715203
45,1364931.4606567724
46,394342.493851766
47,619702.004235685
48,798594.8863669225
49,466755.97125709
50,569900.3675509805
51,1680175.1999088123
52,431524.04219266854
53,628073.2746734302
54,281467.20103183243
55,823459.3916871301
56,783325.6658447101
57,440863.30300434923
58,192050.99343131756
59,496370.7373041152
60,813815.4646307456
61,559526.6944525093
62,480537.1540720921
63,442090.65384387743
64,670094.1913080266
65,665371.0298766238
66,309206.48408944515
67,345943.1551487284
68,170478.19467243215
69,473405.47101120633
70,1035068.8333173485
71,490480.31182952016
72,520347.3231431518
73,444021.77573696885
74,233871.77664276294
75,389986.39925180736
76,2209115.7564019207
77,274909.22149993246
78,161141.00891681877
79,716011.198181625
80,352063.3691446424
81,692590.7282609236
82,816352.1102606945
83,739622.6791543243
84,397009.0135184979
85,406214.60307289223
86,505802.9815542469
87,685533.4625175487
88,160492.2218776301
89,326733.9315905204
90,478889.1163600985
91,860527.3971036104
92,1139934.3320358645
93,963975.8148543428
94,485532.20946602616
95,432093.9943451623
96,890388.4037806088
97,670888.5043962874
98,3220017.1277201744
99,712593.6031478461
100,148824.85780680645
101,604492.5191442689
102,251221.52197900187
103,931013.5806863918
104,251836.1576907793
105,186404.94692009437
106,686558.7062727327
107,979874.9820380611
108,197716.35501814017
109,980639.0137306598
110,146997.55828287936
111,611198.8507529289
112,696233.8105055484
113,1229386.6381720924
114,341580.1555019834
115,448881.01620981854
116,490939.0814921736
117,510278.4855287611
118,181096.97325219383
119,594553.2332592679
120,546865.0315918487
121,222665.5788541077
122,967427.2128916711
123,475391.2129011816
124,3567845.2036899403
125,731575.6465002173
126,1185198.1460994266
127,596794.9458802289
128,292600.66274991806
129,1093580.5054266574
130,709294.829079252
131,1211082.0634754123
132,696552.2439153402
133,1702004.2239494754
134,1186499.1172262873
135,877575.5180638618
136,2209876.2565220203
137,467934.180297663
138,798291.2603689478
139,502024.93703219853
140,688830.6655763637
141,954948.1031974106
142,305803.24235899013
143,142722.09392143192
144,183263.70987409801
145,481084.811591043
146,1962865.1006357113
147,329160.6916045008
148,917484.7194562114
149,203439.8650561758
150,646338.8120681308
151,454453.971786468
152,2686421.0459305225
153,406799.5177288125
154,875514.401662392
155,315052.7132756806
156,172003.63961603574
157,983466.3108712191
158,446629.41298008454
159,1504289.0721209585
160,378064.3345167616
